date,ticker,open,high,low,close
2017/1/7,ETH,10.07,10.12,9.47,9.78
2017/2/7,ETH,11.32,11.55,11.26,11.45
2017/3/7,ETH,19.75,19.81,18.52,18.91
2017/4/7,ETH,43.23,44.58,41.58,42.31
2017/5/7,ETH,94.82,96.37,62.74,90.46
2017/6/7,ETH,264.26,264.8,246.17,255.77
2017/7/7,ETH,265.88,266.25,236.16,240.94
2017/8/7,ETH,264.56,274.39,257.41,269.94
2017/9/7,ETH,338.92,338.92,323.36,335.37
2017/10/7,ETH,308.33,314.12,304.63,311.26
2017/11/7,ETH,296.82,303.76,287.45,291.84
2017/12/7,ETH,422.39,434.85,404.16,421.15
2018/1/7,ETH,1006.41,1117.84,1003.21,1117.75
2018/2/7,ETH,773.83,857.84,718.93,792.31
2018/3/7,ETH,818.3,825.31,726.78,754.94
2018/4/7,ETH,370.53,395.12,366.52,391.06
2018/5/7,ETH,783.58,794.86,694.21,749.66
2018/6/7,ETH,606.46,615.98,598.95,601.65
2018/7/7,ETH,468.68,472.9,461.85,464.36
2018/8/7,ETH,401.42,410.19,369.31,377.54
2018/9/7,ETH,224.27,234.03,213.96,217.47
2018/10/7,ETH,224.79,225.75,221.22,223.93
2018/11/7,ETH,218.42,223.55,216.49,218.21
2018/12/7,ETH,93.72,97.7,82.09,94.22
2019/1/7,ETH,157.59,160.17,150.35,151.48
2019/2/7,ETH,105,106.01,103.8,104.5
2019/3/7,ETH,138.75,141.06,136.2,138.29
2019/4/7,ETH,165.7,176.88,164.94,174.28
2019/5/7,ETH,176.11,183.31,171.1,174.31
2019/6/7,ETH,243.06,254.12,242.58,248.97
2019/7/7,ETH,288.18,310.14,284.6,308.11
2019/8/7,ETH,223.96,231.06,221.02,224.99
2019/9/7,ETH,170.03,181.01,168.62,179.92
2019/10/7,ETH,171.67,182.76,168.78,179.59
2019/11/7,ETH,191.21,192.27,184.6,187.35
2019/12/7,ETH,149.05,149.87,147.62,148.23
2020/1/7,ETH,143.18,145.13,139.07,142.21
2020/2/7,ETH,211.22,224.12,210.86,221.89
2020/3/7,ETH,240.59,252.66,237.12,240.58
2020/4/7,ETH,166.22,176.34,162.72,167.38
2020/5/7,ETH,206.36,215.09,197.13,212.59
2020/6/7,ETH,242.59,243.95,235.12,242.06
2020/7/7,ETH,238.95,243.71,234.77,238.21
2020/8/7,ETH,395.61,398.29,365.76,379.46
2020/9/7,ETH,357.62,358.52,323.67,345.12
2020/10/7,ETH,339.2,342.7,333.38,340.01
2020/11/7,ETH,456.11,468.02,426.27,437.39
2020/12/7,ETH,593.54,603.66,584.93,591
2021/1/7,ETH,1180.31,1289.01,1156.04,1244.42
2021/2/7,ETH,1704.28,1704.94,1496.44,1599.61
2021/3/7,ETH,1666.09,1694.41,1634.38,1679.45
2021/4/7,ETH,2113.06,2128.4,1933.5,1996.36
2021/5/7,ETH,3520.06,3591.08,3362.11,3479.8
2021/6/7,ETH,2715.46,2846.46,2579.43,2613.25
2021/7/7,ETH,2287.89,2406.67,2285.99,2345.98
2021/8/7,ETH,2882.93,3172.06,2867.5,3074.71
2021/9/7,ETH,3957.2,3969.46,3186.46,3366.81
2021/10/7,ETH,3585.08,3654.94,3473.06,3636.4
2021/11/7,ETH,4506.24,4638.03,4504.86,4595.86
2021/12/7,ETH,4340.3,4430.1,4261.5,4269.1
2022/1/7,ETH,3429.66,3431.48,3091,3181.51
2022/2/7,ETH,2990.21,3188.67,2984.83,3153.86
2022/3/7,ETH,2629.41,2648.95,2445.55,2504.62
2022/4/7,ETH,3226.45,3269.31,3143.46,3219.2
2022/5/7,ETH,2688.55,2706.72,2630.92,2630.92
2022/6/7,ETH,1871.57,1874.23,1724.83,1839.71
2022/7/7,ETH,1160.89,1252.95,1160.31,1238.9
2022/8/7,ETH,1717.69,1729.74,1668.91,1717.74
2022/9/7,ETH,1584.68,1653.17,1490.86,1645.97
2022/10/7,ETH,1351.57,1361.9,1317.6,1333.67
2022/11/7,ETH,1601.71,1608.06,1545.21,1559.41
2022/12/7,ETH,1252.88,1277.24,1219.32,1230.39
2023/1/7,ETH,1269.27,1271.52,1261.04,1262.81
2023/2/7,ETH,1632.93,1678.33,1605.66,1665.43
2023/3/7,ETH,1569.3,1584.16,1537.59,1553.21
2023/4/7,ETH,1866,1883.47,1842.77,1858.16
2023/5/7,ETH,1898.93,1935.88,1891.54,1909.67
2023/6/7,ETH,1880.21,1898.04,1821.8,1822.64
2023/7/7,ETH,1875.88,1877.98,1826.47,1868.8
2023/8/7,ETH,1827.45,1844.41,1798.46,1823.66
2023/9/7,ETH,1631.56,1658.62,1622.43,1645.46
2023/10/7,ETH,1653.38,1655.82,1631.13,1634.59
2023/11/7,ETH,1903.82,1907.66,1850.74,1880.36
2023/12/7,ETH,2233.81,2383.27,2221.42,2350.73
2024/1/7,ETH,2238.78,2258.73,2209.73,2217.44
2024/2/7,ETH,2381.11,2443.58,2352.14,2425.07
2024/3/7,ETH,3815.33,3940.93,3736.95,3862.53
